time,gps_speed(m/s),mm_lon,mm_lat
1675110238585,0.0,-81.830602,28.835103
1675110238652,0.0,-81.830602,28.835103
1675110238718,0.0,-81.830602,28.835103
1675110238785,0.0,-81.830602,28.835103
1675110238852,0.0,-81.830602,28.835103
1675110238918,0.0,-81.830602,28.835103
1675110238985,0.0,-81.830602,28.835103
1675110239052,0.0,-81.830602,28.835103
1675110239118,0.0,-81.830602,28.835103
1675110239185,0.0,-81.830602,28.835103
1675110239252,0.0,-81.830602,28.835103
1675110239318,0.0,-81.830602,28.835103
1675110239385,0.0,-81.830602,28.835103
1675110239452,0.0,-81.830602,28.835103
1675110239518,0.0,-81.830602,28.835103
1675110239585,0.0,-81.830602,28.835103
1675110239652,0.0,-81.830602,28.835103
1675110239718,0.0,-81.830602,28.835103
1675110239785,0.0,-81.830602,28.835103
1675110239852,0.0,-81.830602,28.835103
1675110239918,0.0,-81.830602,28.835103
1675110239985,0.0,-81.830602,28.835103
1675110240052,2.64,-81.830602,28.835103
1675110240118,2.64,-81.830598,28.835103
1675110240185,2.64,-81.830593,28.835103
1675110240252,2.64,-81.830589,28.835102
1675110240318,2.64,-81.830585,28.835102
1675110240385,2.64,-81.830581,28.835102
1675110240452,2.64,-81.830578,28.835102
1675110240518,2.64,-81.830577,28.835101
1675110240585,2.64,-81.830576,28.835101
1675110240652,2.64,-81.830575,28.8351
1675110240718,2.64,-81.830574,28.8351
1675110240785,2.64,-81.830573,28.835099
1675110240852,2.64,-81.830572,28.835098
1675110240918,2.64,-81.830571,28.835098
1675110240985,2.64,-81.83057,28.835097
1675110241052,2.64,-81.830569,28.835097
1675110241118,2.64,-81.830568,28.835096
1675110241185,2.64,-81.830568,28.835096
1675110241252,2.64,-81.830567,28.835095
1675110241318,2.64,-81.830566,28.835095
1675110241385,2.64,-81.830565,28.835094
1675110241452,2.64,-81.830564,28.835094
1675110241518,2.64,-81.830563,28.835093
1675110241585,2.64,-81.830562,28.835092
1675110241652,2.64,-81.830561,28.835092
1675110241718,2.65,-81.83056,28.835091
1675110241785,2.65,-81.830559,28.835091
1675110241852,2.65,-81.830558,28.83509
1675110241918,2.65,-81.830557,28.83509
1675110241985,2.65,-81.830557,28.835089
1675110242052,2.65,-81.830556,28.835089
1675110242118,2.65,-81.830555,28.835088
1675110242185,2.65,-81.830554,28.835087
1675110242252,2.65,-81.830553,28.835087
1675110242318,2.66,-81.830552,28.835086
1675110242385,2.66,-81.830551,28.835086
1675110242452,2.66,-81.83055,28.835085
1675110242518,2.66,-81.830549,28.835085
1675110242585,2.66,-81.830548,28.835084
1675110242652,2.67,-81.830547,28.835084
1675110242718,2.67,-81.830547,28.835083
1675110242785,2.68,-81.830546,28.835083
1675110242852,2.68,-81.830545,28.835082
1675110242918,2.69,-81.830544,28.835081
1675110242985,2.7,-81.830543,28.835081
1675110243052,2.71,-81.830542,28.83508
1675110243118,2.72,-81.830541,28.83508
1675110243185,2.73,-81.83054,28.835079
1675110243252,2.74,-81.830539,28.835079
1675110243318,2.76,-81.830538,28.835078
1675110243385,2.77,-81.830537,28.835078
1675110243452,2.79,-81.830536,28.835077
1675110243518,2.81,-81.830536,28.835077
1675110243585,2.83,-81.830535,28.835076
1675110243652,2.85,-81.830534,28.835075
1675110243718,2.88,-81.830533,28.835075
1675110243785,2.91,-81.830532,28.835074
1675110243852,2.93,-81.830531,28.835074
1675110243918,2.96,-81.83053,28.835073
1675110243985,3.0,-81.830529,28.835073
1675110244052,3.03,-81.830528,28.835072
1675110244118,3.06,-81.830527,28.835072
1675110244185,3.1,-81.830526,28.835071
1675110244252,3.13,-81.830525,28.83507
1675110244318,3.17,-81.830525,28.83507
1675110244385,3.2,-81.830524,28.835069
1675110244452,3.24,-81.830523,28.835069
1675110244518,3.28,-81.830522,28.835068
1675110244585,3.32,-81.830521,28.835068
1675110244652,3.35,-81.83052,28.835067
1675110244718,3.39,-81.830519,28.835067
1675110244785,3.43,-81.830518,28.835067
1675110244852,3.46,-81.830517,28.835066
1675110244918,3.5,-81.830517,28.835066
1675110244985,3.53,-81.830516,28.835065
1675110245052,3.56,-81.830515,28.835065
1675110245118,3.59,-81.830514,28.835064
1675110245185,3.62,-81.830513,28.835064
1675110245252,3.64,-81.830512,28.835063
1675110245318,3.67,-81.830511,28.835063
1675110245385,3.69,-81.830511,28.835062
1675110245452,3.71,-81.83051,28.835062
1675110245518,3.73,-81.83051,28.835062
1675110245585,3.74,-81.83051,28.835062
1675110245652,3.76,-81.83051,28.835061
1675110245718,3.77,-81.830509,28.835061
1675110245785,3.77,-81.830509,28.835061
1675110245852,3.78,-81.830509,28.835061
1675110245918,3.78,-81.830509,28.835061
1675110245985,3.78,-81.830509,28.83506
1675110246052,3.77,-81.830509,28.83506
1675110246118,3.77,-81.830509,28.83506
1675110246185,3.76,-81.830508,28.83506
1675110246252,3.75,-81.830508,28.83506
1675110246318,3.73,-81.830508,28.835059
1675110246385,3.72,-81.830508,28.835059
1675110246452,3.7,-81.830508,28.835059
1675110246518,3.68,-81.830508,28.835059
1675110246585,3.66,-81.830508,28.835059
1675110246652,3.64,-81.830508,28.835058
1675110246718,3.61,-81.830507,28.835058
1675110246785,3.59,-81.830507,28.835058
1675110246852,3.56,-81.830507,28.835058
1675110246918,3.53,-81.830507,28.835058
1675110246985,3.51,-81.830507,28.835057
1675110247052,3.48,-81.830507,28.835057
1675110247118,3.45,-81.830507,28.835057
1675110247185,3.43,-81.830506,28.835057
1675110247252,3.4,-81.830506,28.835057
1675110247318,3.38,-81.830506,28.835056
1675110247385,3.35,-81.830506,28.835056
1675110247452,3.33,-81.830506,28.835056
1675110247518,3.3,-81.830505,28.835056
1675110247585,3.28,-81.830503,28.835056
1675110247652,3.26,-81.830502,28.835056
1675110247718,3.24,-81.830501,28.835056
1675110247785,3.22,-81.8305,28.835056
1675110247852,3.21,-81.830499,28.835056
1675110247918,3.19,-81.830498,28.835056
1675110247985,3.18,-81.830497,28.835056
1675110248052,3.17,-81.830496,28.835056
1675110248118,3.15,-81.830495,28.835056
1675110248185,3.14,-81.830494,28.835056
1675110248252,3.14,-81.830493,28.835056
1675110248318,3.13,-81.830492,28.835056
1675110248385,3.12,-81.830491,28.835056
1675110248452,3.11,-81.83049,28.835056
1675110248518,3.11,-81.830489,28.835056
